dimension,collective,algorithm,protocol,size_bytes,size_label,dtype,runs,calls,ranks,status,verdict,comparison_count,divergent_comparison_count,input_hashes_consistent,max_abs_error,max_rel_error,max_ordered_ulp,evidence_file,interpretation
algorithm,all_reduce,default,default,1048576,1MiB,float32,5,10,4,ok,bitwise_identical,160,0,True,0.0,0.0,0,results/20260809_024510_algo_matrix_1MiB/20260809_024511_matrix_all_reduce_float32_1MiB_default_default/summary.json,same-configuration run-to-run outputs were bitwise identical
algorithm,all_reduce,Ring,default,1048576,1MiB,float32,5,10,4,ok,bitwise_identical,160,0,True,0.0,0.0,0,results/20260809_024510_algo_matrix_1MiB/20260809_024549_matrix_all_reduce_float32_1MiB_Ring_default/summary.json,same-configuration run-to-run outputs were bitwise identical
algorithm,all_reduce,Tree,default,1048576,1MiB,float32,5,10,4,ok,bitwise_identical,160,0,True,0.0,0.0,0,results/20260809_024510_algo_matrix_1MiB/20260809_024627_matrix_all_reduce_float32_1MiB_Tree_default/summary.json,same-configuration run-to-run outputs were bitwise identical
algorithm,reduce_scatter,default,default,1048576,1MiB,float32,5,10,4,ok,bitwise_identical,160,0,True,0.0,0.0,0,results/20260809_024510_algo_matrix_1MiB/20260809_024704_matrix_reduce_scatter_float32_1MiB_default_default/summary.json,same-configuration run-to-run outputs were bitwise identical
algorithm,reduce_scatter,Ring,default,1048576,1MiB,float32,5,10,4,ok,bitwise_identical,160,0,True,0.0,0.0,0,results/20260809_024510_algo_matrix_1MiB/20260809_024741_matrix_reduce_scatter_float32_1MiB_Ring_default/summary.json,same-configuration run-to-run outputs were bitwise identical
algorithm,reduce_scatter,Tree,default,1048576,1MiB,float32,5,10,4,unsupported_configuration,unsupported,,,,,,,results/20260809_024510_algo_matrix_1MiB/20260809_024818_matrix_reduce_scatter_float32_1MiB_Tree_default/summary.json,configuration failed explicitly as unsupported by NCCL on this stack
protocol,all_reduce,default,default,1048576,1MiB,float32,5,10,4,ok,bitwise_identical,160,0,True,0.0,0.0,0,results/20260809_024908_proto_matrix_1MiB/20260809_024909_matrix_all_reduce_float32_1MiB_default_default/summary.json,same-configuration run-to-run outputs were bitwise identical
protocol,all_reduce,default,Simple,1048576,1MiB,float32,5,10,4,ok,bitwise_identical,160,0,True,0.0,0.0,0,results/20260809_024908_proto_matrix_1MiB/20260809_024946_matrix_all_reduce_float32_1MiB_default_Simple/summary.json,same-configuration run-to-run outputs were bitwise identical
protocol,all_reduce,default,LL,1048576,1MiB,float32,5,10,4,ok,bitwise_identical,160,0,True,0.0,0.0,0,results/20260809_024908_proto_matrix_1MiB/20260809_025024_matrix_all_reduce_float32_1MiB_default_LL/summary.json,same-configuration run-to-run outputs were bitwise identical
protocol,all_reduce,default,LL128,1048576,1MiB,float32,5,10,4,ok,bitwise_identical,160,0,True,0.0,0.0,0,results/20260809_024908_proto_matrix_1MiB/20260809_025102_matrix_all_reduce_float32_1MiB_default_LL128/summary.json,same-configuration run-to-run outputs were bitwise identical
protocol,reduce_scatter,default,default,1048576,1MiB,float32,5,10,4,ok,bitwise_identical,160,0,True,0.0,0.0,0,results/20260809_024908_proto_matrix_1MiB/20260809_025144_matrix_reduce_scatter_float32_1MiB_default_default/summary.json,same-configuration run-to-run outputs were bitwise identical
protocol,reduce_scatter,default,Simple,1048576,1MiB,float32,5,10,4,ok,bitwise_identical,160,0,True,0.0,0.0,0,results/20260809_024908_proto_matrix_1MiB/20260809_025222_matrix_reduce_scatter_float32_1MiB_default_Simple/summary.json,same-configuration run-to-run outputs were bitwise identical
protocol,reduce_scatter,default,LL,1048576,1MiB,float32,5,10,4,ok,bitwise_identical,160,0,True,0.0,0.0,0,results/20260809_024908_proto_matrix_1MiB/20260809_025259_matrix_reduce_scatter_float32_1MiB_default_LL/summary.json,same-configuration run-to-run outputs were bitwise identical
protocol,reduce_scatter,default,LL128,1048576,1MiB,float32,5,10,4,ok,bitwise_identical,160,0,True,0.0,0.0,0,results/20260809_024908_proto_matrix_1MiB/20260809_025336_matrix_reduce_scatter_float32_1MiB_default_LL128/summary.json,same-configuration run-to-run outputs were bitwise identical
