method,rank,iteration,comm_active_us,gemm_active_us,scatter_prep_active_us,comm_gemm_overlap_us,comm_compute_overlap_us,comm_gemm_overlap_pct,comm_compute_overlap_pct,first_gemm_delay_us,p2p_memcpy_count,scatter_prep_kernel_count,source_sqlite
B0_original,0,0,90.112,279.903,11.68,65.824,76.928,73.046875,85.36931818181817,24.288,3,4,artifacts/profiling/compact/baseline_measured_loop.sqlite
B0_original,0,1,91.231,279.167,10.944,64.959,75.039,71.20277098793173,82.25164691826244,26.272,3,4,artifacts/profiling/compact/baseline_measured_loop.sqlite
B0_original,0,2,92.256,275.455,10.848,66.88,75.744,72.49392993409643,82.10197710718002,25.376,3,4,artifacts/profiling/compact/baseline_measured_loop.sqlite
B0_original,0,3,90.399,285.694,11.296,69.983,79.103,77.41567937698426,87.5042865518424,20.416,3,4,artifacts/profiling/compact/baseline_measured_loop.sqlite
B0_original,0,4,91.072,280.959,11.392,76.352,83.616,83.83696416022488,91.81307097680956,14.72,3,4,artifacts/profiling/compact/baseline_measured_loop.sqlite
B0_original,0,5,89.407,288.319,11.232,70.208,79.328,78.52628988781639,88.72683346941514,19.199,3,4,artifacts/profiling/compact/baseline_measured_loop.sqlite
B0_original,0,6,90.016,272.511,10.88,63.968,72.864,71.06292214717384,80.9456096693921,26.048,3,4,artifacts/profiling/compact/baseline_measured_loop.sqlite
B0_original,0,7,91.712,278.015,12.896,69.088,80.864,75.33147243545011,88.17166782972784,22.624,3,4,artifacts/profiling/compact/baseline_measured_loop.sqlite
B0_original,0,8,90.72,277.342,11.36,65.664,76.48,72.38095238095238,84.30335097001763,25.056,3,4,artifacts/profiling/compact/baseline_measured_loop.sqlite
B0_original,0,9,88.896,289.311,11.68,76.576,83.904,86.14110871130309,94.38444924406048,12.32,3,4,artifacts/profiling/compact/baseline_measured_loop.sqlite
B0_original,0,10,90.719,280.094,10.912,74.943,82.463,82.61003758859776,90.89937058389091,15.776,3,4,artifacts/profiling/compact/baseline_measured_loop.sqlite
B0_original,0,11,88.288,278.847,11.936,64.544,75.872,73.10619789778904,85.93693367162015,23.744,3,4,artifacts/profiling/compact/baseline_measured_loop.sqlite
B0_original,0,12,89.183,285.247,10.783,77.312,83.743,86.68916721796755,93.90018277025891,11.871,3,4,artifacts/profiling/compact/baseline_measured_loop.sqlite
B0_original,0,13,91.679,285.855,12.128,73.887,83.519,80.59315655711778,91.09937935623206,17.792,3,4,artifacts/profiling/compact/baseline_measured_loop.sqlite
B0_original,0,14,87.84,287.871,10.944,75.648,82.176,86.12021857923497,93.55191256830601,12.192,3,4,artifacts/profiling/compact/baseline_measured_loop.sqlite
B0_original,0,15,91.743,272.382,12.608,60.639,72.863,66.0965959255747,79.42077324700522,31.104,3,4,artifacts/profiling/compact/baseline_measured_loop.sqlite
B0_original,0,16,90.496,286.463,11.552,70.848,80.576,78.28854314002828,89.03818953323905,19.648,3,4,artifacts/profiling/compact/baseline_measured_loop.sqlite
B0_original,0,17,89.983,273.982,11.52,65.663,75.199,72.97267261593856,83.57022993232054,24.32,3,4,artifacts/profiling/compact/baseline_measured_loop.sqlite
B0_original,0,18,86.944,269.887,12.032,58.464,70.464,67.24328303275672,81.04527051895472,28.48,3,4,artifacts/profiling/compact/baseline_measured_loop.sqlite
B0_original,0,19,89.887,274.015,11.711,61.888,73.503,68.85089056259525,81.77267013027468,27.999,3,4,artifacts/profiling/compact/baseline_measured_loop.sqlite
B0_original,1,0,74.592,288.415,10.784,58.72,66.336,78.72157872157872,88.93178893178893,15.872,3,4,artifacts/profiling/compact/baseline_measured_loop.sqlite
B0_original,1,1,76.64,283.871,12.0,51.872,62.72,67.68267223382047,81.83716075156576,24.768,3,4,artifacts/profiling/compact/baseline_measured_loop.sqlite
B0_original,1,2,74.336,289.982,10.976,58.656,66.048,78.906586310805,88.85062419285407,15.68,3,4,artifacts/profiling/compact/baseline_measured_loop.sqlite
B0_original,1,3,76.736,287.807,11.648,51.296,62.432,66.84737281067557,81.35946622185153,25.44,3,4,artifacts/profiling/compact/baseline_measured_loop.sqlite
B0_original,1,4,77.472,293.087,12.224,51.68,63.264,66.70797191243288,81.66047087980174,25.792,3,4,artifacts/profiling/compact/baseline_measured_loop.sqlite
B0_original,1,5,75.263,279.454,10.944,51.615,60.543,68.57951450247798,80.44191701101471,23.648,3,4,artifacts/profiling/compact/baseline_measured_loop.sqlite
